,id,age,gender,skinColor,accessories,nailPolish,aspectOfHand,imageName,irregularities
64,0,27,male,fair,0,0,dorsal left,Hand_0000072.jpg,0
65,0,27,male,fair,0,0,dorsal left,Hand_0000073.jpg,0
66,0,27,male,fair,0,0,dorsal left,Hand_0000074.jpg,0
2059,1020,20,female,medium,1,0,dorsal left,Hand_0002367.jpg,0
2060,1020,20,female,medium,1,0,dorsal left,Hand_0002368.jpg,0
2103,1020,20,female,medium,1,0,dorsal left,Hand_0002422.jpg,0
3317,1569,21,female,medium,1,0,dorsal left,Hand_0003651.jpg,0
3318,1569,21,female,medium,1,0,dorsal left,Hand_0003652.jpg,0
3319,1569,21,female,medium,1,0,dorsal left,Hand_0003672.jpg,0
3796,1032,21,female,fair,1,1,dorsal left,Hand_0004172.jpg,0
3797,1032,21,female,fair,1,1,dorsal left,Hand_0004173.jpg,0
3798,1032,21,female,fair,1,1,dorsal left,Hand_0004174.jpg,0
4185,1033,20,female,medium,0,0,dorsal right,Hand_0004563.jpg,0
4186,1033,20,female,medium,0,0,dorsal right,Hand_0004564.jpg,0
4187,1033,20,female,medium,0,0,dorsal right,Hand_0004565.jpg,0
5256,1041,20,female,medium,1,0,dorsal left,Hand_0005661.jpg,0
5257,1041,20,female,medium,1,0,dorsal left,Hand_0005662.jpg,0
5258,1041,20,female,medium,1,0,dorsal left,Hand_0005663.jpg,0
5448,588,21,female,medium,0,0,dorsal left,Hand_0005855.jpg,0
5449,588,21,female,medium,0,0,dorsal left,Hand_0005856.jpg,0
5450,588,21,female,medium,0,0,dorsal left,Hand_0005857.jpg,0
5756,1037,21,female,medium,0,0,dorsal right,Hand_0006182.jpg,0
5757,1037,21,female,medium,0,0,dorsal right,Hand_0006183.jpg,0
5758,1037,21,female,medium,0,0,dorsal right,Hand_0006184.jpg,0
6407,1029,21,male,fair,0,0,dorsal left,Hand_0006843.jpg,0
6408,1029,21,male,fair,0,0,dorsal left,Hand_0006844.jpg,0
6409,1029,21,male,fair,0,0,dorsal left,Hand_0006845.jpg,0
7273,1516,20,male,fair,0,0,dorsal right,Hand_0007737.jpg,0
7274,1516,20,male,fair,0,0,dorsal right,Hand_0007738.jpg,0
7275,1516,20,male,fair,0,0,dorsal right,Hand_0007739.jpg,0
7649,1579,21,female,fair,1,1,dorsal right,Hand_0008126.jpg,0
7650,1579,21,female,fair,1,1,dorsal right,Hand_0008128.jpg,0
7651,1579,21,female,fair,1,1,dorsal right,Hand_0008129.jpg,0
7696,1024,22,male,medium,0,0,dorsal right,Hand_0008176.jpg,0
7697,1024,22,male,medium,0,0,dorsal right,Hand_0008178.jpg,0
7698,1024,22,male,medium,0,0,dorsal right,Hand_0008179.jpg,0
7846,546,22,female,medium,0,0,dorsal right,Hand_0008333.jpg,0
7847,546,22,female,medium,0,0,dorsal right,Hand_0008334.jpg,0
7848,546,22,female,medium,0,0,dorsal right,Hand_0008335.jpg,0
7859,546,22,female,medium,0,0,dorsal left,Hand_0008346.jpg,0
7860,546,22,female,medium,0,0,dorsal left,Hand_0008347.jpg,0
7906,1046,21,female,medium,0,1,dorsal right,Hand_0008393.jpg,0
7907,1046,21,female,medium,0,1,dorsal right,Hand_0008394.jpg,0
7908,1046,21,female,medium,0,1,dorsal right,Hand_0008395.jpg,0
8096,1019,21,female,very fair,1,0,dorsal right,Hand_0008586.jpg,0
8097,1019,21,female,very fair,1,0,dorsal right,Hand_0008587.jpg,0
8098,1019,21,female,very fair,1,0,dorsal right,Hand_0008588.jpg,0
10636,1005,23,male,medium,0,0,dorsal right,Hand_0011283.jpg,0
10637,1005,23,male,medium,0,0,dorsal right,Hand_0011284.jpg,0
10638,1005,23,male,medium,0,0,dorsal right,Hand_0011285.jpg,0
79,559,20,female,dark,0,0,palmar right,Hand_0000087.jpg,0
80,559,20,female,dark,0,0,palmar right,Hand_0000088.jpg,0
81,559,20,female,dark,0,0,palmar right,Hand_0000089.jpg,0
388,19,20,female,medium,1,0,palmar left,Hand_0000491.jpg,0
389,19,20,female,medium,1,0,palmar left,Hand_0000492.jpg,0
390,19,20,female,medium,1,0,palmar left,Hand_0000493.jpg,0
699,62,22,female,medium,1,0,palmar right,Hand_0000850.jpg,0
700,62,22,female,medium,1,0,palmar right,Hand_0000851.jpg,0
701,62,22,female,medium,1,0,palmar right,Hand_0000852.jpg,0
1890,525,20,female,medium,1,0,palmar left,Hand_0002195.jpg,0
1891,525,20,female,medium,1,0,palmar left,Hand_0002196.jpg,0
1892,525,20,female,medium,1,0,palmar left,Hand_0002197.jpg,0
2114,1020,20,female,medium,0,0,palmar left,Hand_0002433.jpg,0
2115,1020,20,female,medium,0,0,palmar left,Hand_0002434.jpg,0
2642,1505,21,female,medium,1,0,palmar left,Hand_0002968.jpg,0
2643,1505,21,female,medium,1,0,palmar left,Hand_0002969.jpg,0
2665,1505,21,female,medium,1,0,palmar right,Hand_0002991.jpg,0
2666,1505,21,female,medium,1,0,palmar right,Hand_0002992.jpg,0
2667,1505,21,female,medium,1,0,palmar right,Hand_0002993.jpg,0
2846,1019,21,female,very fair,0,0,palmar right,Hand_0003174.jpg,0
3125,1018,21,female,fair,1,0,palmar left,Hand_0003456.jpg,0
3126,1018,21,female,fair,1,0,palmar left,Hand_0003457.jpg,0
3127,1018,21,female,fair,1,0,palmar left,Hand_0003458.jpg,0
3787,1032,21,female,fair,0,0,palmar right,Hand_0004163.jpg,0
3788,1032,21,female,fair,0,0,palmar right,Hand_0004164.jpg,0
3789,1032,21,female,fair,0,0,palmar right,Hand_0004165.jpg,0
4493,1050,20,female,medium,0,0,palmar right,Hand_0004883.jpg,0
4494,1050,20,female,medium,0,0,palmar right,Hand_0004884.jpg,0
4495,1050,20,female,medium,0,0,palmar right,Hand_0004885.jpg,0
6942,1543,21,male,medium,0,0,palmar left,Hand_0007401.jpg,0
6943,1543,21,male,medium,0,0,palmar left,Hand_0007402.jpg,0
6944,1543,21,male,medium,0,0,palmar left,Hand_0007403.jpg,0
6973,1546,21,female,medium,0,0,palmar right,Hand_0007432.jpg,0
6974,1546,21,female,medium,0,0,palmar right,Hand_0007433.jpg,0
6975,1546,21,female,medium,0,0,palmar right,Hand_0007434.jpg,0
7518,1597,21,female,medium,0,0,palmar left,Hand_0007994.jpg,0
7519,1597,21,female,medium,0,0,palmar left,Hand_0007995.jpg,0
7520,1597,21,female,medium,0,0,palmar left,Hand_0007996.jpg,0
8446,528,22,female,medium,1,0,palmar left,Hand_0008956.jpg,0
8447,528,22,female,medium,1,0,palmar left,Hand_0008959.jpg,0
8448,528,22,female,medium,1,0,palmar left,Hand_0008960.jpg,0
8536,596,22,female,fair,1,0,palmar right,Hand_0009052.jpg,0
8537,596,22,female,fair,1,0,palmar right,Hand_0009053.jpg,0
8538,596,22,female,fair,1,0,palmar right,Hand_0009054.jpg,0
9596,507,21,female,dark,0,0,palmar left,Hand_0010188.jpg,0
9597,507,21,female,dark,0,0,palmar left,Hand_0010189.jpg,0
9598,507,21,female,dark,0,0,palmar left,Hand_0010190.jpg,0
9617,1525,23,female,fair,0,0,palmar right,Hand_0010210.jpg,0
11070,1589,22,female,fair,0,0,palmar left,Hand_0011739.jpg,0
11071,1589,22,female,fair,0,0,palmar left,Hand_0011740.jpg,0
