,id,age,gender,skinColor,accessories,nailPolish,aspectOfHand,imageName,irregularities
62,0,27,male,fair,0,0,,Hand_0000070.jpg,0
67,0,27,male,fair,0,0,,Hand_0000075.jpg,0
86,559,20,female,dark,0,0,,Hand_0000094.jpg,0
87,559,20,female,dark,0,0,,Hand_0000095.jpg,0
99,65,20,female,dark,0,1,,Hand_0000109.jpg,0
100,65,20,female,dark,0,1,,Hand_0000111.jpg,0
101,65,20,female,dark,0,1,,Hand_0000112.jpg,0
120,505,21,female,medium,0,0,,Hand_0000144.jpg,0
121,505,21,female,medium,0,0,,Hand_0000145.jpg,0
163,55,20,female,medium,1,0,,Hand_0000203.jpg,0
164,55,20,female,medium,1,0,,Hand_0000204.jpg,0
165,55,20,female,medium,1,0,,Hand_0000205.jpg,0
322,1073,20,female,medium,1,0,,Hand_0000403.jpg,0
323,1073,20,female,medium,1,0,,Hand_0000404.jpg,0
525,1593,20,female,medium,1,0,,Hand_0000648.jpg,0
527,1593,20,female,medium,1,0,,Hand_0000650.jpg,0
535,1593,20,female,medium,0,0,,Hand_0000658.jpg,0
536,1593,20,female,medium,0,0,,Hand_0000659.jpg,0
640,570,21,female,medium,0,0,,Hand_0000774.jpg,1
642,570,21,female,medium,0,0,,Hand_0000776.jpg,1
741,57,26,male,dark,1,0,,Hand_0000902.jpg,0
742,57,26,male,dark,1,0,,Hand_0000903.jpg,0
754,57,26,male,dark,0,0,,Hand_0000915.jpg,0
1877,525,20,female,medium,1,0,,Hand_0002182.jpg,0
1878,525,20,female,medium,1,0,,Hand_0002183.jpg,0
1879,525,20,female,medium,1,0,,Hand_0002184.jpg,0
1907,1545,22,female,medium,1,1,,Hand_0002212.jpg,0
1908,1545,22,female,medium,1,1,,Hand_0002213.jpg,0
1909,1545,22,female,medium,1,1,,Hand_0002214.jpg,0
3223,1571,21,female,fair,1,1,,Hand_0003555.jpg,0
3224,1571,21,female,fair,1,1,,Hand_0003556.jpg,0
3226,1571,21,female,fair,1,1,,Hand_0003558.jpg,0
4297,1080,21,female,medium,0,0,,Hand_0004680.jpg,0
4298,1080,21,female,medium,0,0,,Hand_0004681.jpg,0
5595,586,21,female,fair,0,0,,Hand_0006004.jpg,0
5596,586,21,female,fair,0,0,,Hand_0006005.jpg,0
6726,1532,22,female,fair,0,0,,Hand_0007166.jpg,0
6728,1532,22,female,fair,0,0,,Hand_0007168.jpg,0
7538,573,21,female,fair,0,0,,Hand_0008014.jpg,0
7540,573,21,female,fair,0,0,,Hand_0008016.jpg,0
7541,573,21,female,fair,0,0,,Hand_0008017.jpg,0
8823,1000000,70,male,dark,0,0,,Hand_0009376.jpg,0
8824,1000000,70,male,dark,0,0,,Hand_0009377.jpg,0
8825,1000000,70,male,dark,0,0,,Hand_0009378.jpg,0
9087,6000000,21,female,fair,0,0,,Hand_0009653.jpg,0
9088,6000000,21,female,fair,0,0,,Hand_0009654.jpg,0
9091,6000000,21,female,fair,0,0,,Hand_0009657.jpg,0
9119,7000000,24,male,fair,0,0,,Hand_0009686.jpg,0
9120,7000000,24,male,fair,0,0,,Hand_0009687.jpg,0
11059,1589,22,female,fair,0,1,,Hand_0011726.jpg,0
91,559,20,female,dark,0,0,,Hand_0000101.jpg,0
92,559,20,female,dark,0,0,,Hand_0000102.jpg,0
305,81,20,female,fair,0,0,,Hand_0000386.jpg,0
306,81,20,female,fair,0,0,,Hand_0000387.jpg,0
340,1073,20,female,medium,0,0,,Hand_0000422.jpg,0
341,1073,20,female,medium,0,0,,Hand_0000423.jpg,0
1097,10,21,female,medium,0,0,,Hand_0001320.jpg,0
1098,10,21,female,medium,0,0,,Hand_0001321.jpg,0
1539,1520,36,male,medium,0,0,,Hand_0001828.jpg,0
1540,1520,36,male,medium,0,0,,Hand_0001829.jpg,0
1640,543,21,male,fair,0,0,,Hand_0001930.jpg,0
1641,543,21,male,fair,0,0,,Hand_0001931.jpg,0
1653,543,21,male,fair,0,0,,Hand_0001943.jpg,0
1654,543,21,male,fair,0,0,,Hand_0001944.jpg,0
2398,1540,21,male,medium,0,0,,Hand_0002719.jpg,0
2399,1540,21,male,medium,0,0,,Hand_0002720.jpg,0
